name,grade,climb_angle,climb_style,description
Fire on the Mountain,1,slab,face,Start on an obvious patina flake and pull through powerful first moves. Climb through crimps to the slab top out.
All hands on deck,0,slab,crack,Take the traversing rail to get established for the the perfect hands section.  Enjoy those hands as they leave you high and dry and wishing you had a possible pad or spotter.  Should clean up nice.
Eons of Van Dikes,1,slab,face,Follow the dike that carries you up to a sweet set of indents up high.  Minor rollerballs up high but they should clean up over time.
Perry's Pose,3,slab,technical,A superb sloper arete climb. Sit start on the leftside of the angled arete with a couple good footholds and hands on the arete. Climb the arete rightwards using heel hooks and smears until you get your hands on a small seam. There is a small good cobble/ feature a little higher from the seam. Grab it and mantel over. Finish up the slab to the top of the boulder and take a deep breath of fresh airband enjoy the view!
To Kill Ya Corner,3,overhanging,technical,Start high on the triangular block.  Press out a technical high-step with a crimp to reach the large positive edge.  Finish on jugs up high.
Grommit,4,overhanging,technical,"Sustained, technical sidepulling along a continuous feature with a high crux makes this one of the best of its grade at the Milks. Follow the right-trending weakness to a hard move reaching out right and shooting to the lip."
Seven Spanish Angels (aka The Ruckus),6,overhanging,dyno,A must do!  One of the best in Bishop.  Climb the knobs and dyno for the tea-cup hueco at the lip.
Get Carter,7,overhanging,steep,A much traveled classic.      Sit-start and slap up slopers following the striking black streak on the north-west side of the boulder.    Requires compression and core strength for the grade.
Unnamed,7,overhanging,traverse,"Start on 'Grommit', left of 'Seven Spanish Angels' and traverse right to finish on 'Seven Spanish Angels'... great!"
Flecheros,8,vertical,technical,"Slightly less obvious but really cool. Start on To Kill Ya Corner Sit and climb straight up, using a small nubbly for the left and perhaps a large loaf pinch for the right. Make your way up and slightly left with good technique, way up to the top. Dimitri and I did this thing on an amazing sunny and snowy day. After poodling off the top numerous times we dragged the mattress out of my van, hit the stainless bong a few times, and both floated to the top through rainbow snow flurries. Dimitri later lapped this thing in his Huarache sandals. It’s all technique!"
Michael Caine,9,overhanging,steep,Start standing with the left hand on a high gaston in the right-hand seam.  Pull on and make a long shouldery move right to join with the top of 'Get Carter'.
Twin Cracks,9,overhanging,steep,"Stand start with a left hand in a good/sharp crack slot, right hand in the other crack system. Make a couple moves to more sharp crimps, sidepulls, and/or slopers. Top out left on good holds. Probably easier for taller folks, could be harder for the short."
A Scanner Darkly,12,overhanging,steep,Sit start with your right hand in the crack and your left on the dogbone pinch. Throw left hand up and make a tricky foot swap. From here make a wild throw with the right hand to a sloping edge (crux) and continue up the two cracks and finish as for Twin Cracks. A very hard sustained line that is sure to be a classic. A must do if you climb the grade.
Checkerboard,7,overhanging,face,"Start at a prominant incut flake (not the jug rail just to the right) a bit left of center on the tall, slightly overhanging NW face of the 'Checkerboard Boulder'.  Climb up and right to an exciting last move high off the deck.  An excellent problem!"
King Me,10,overhanging,technical,A very difficult and rarely climbed line. Sit start on the right side of the rock below the arete with the right hand on a juicy pinch and the left hand on the sloping edge. Pull on making some difficult compression moves and climb up and rightward.   Stand start at v3 utilizing the deep slot.
"No Sense, No Reason",4,vertical,face,A fun climb that finishes on good patina flakes.    Sit start at a sidepull and a good crimp for the right hand.    Make a few hard pulls to gain the lip and then bust a move up and right to the smooth patina of the beautiful quartz monzonite.    Top out more easily.   The best way down is down the patina.
Spectre,13,overhanging,steep,"This is a classic testpiece that was established by Dave Graham.  I found this to be one of the most striking lines in Bishop-- it climbs directly out of a steep roof on just a few well-spaced holds.    At first glance it honestly doesn't look as hard as some other problems of the grade.  'The Buttermilker' for instance, seems like a much more improbable line than 'The Spectre'.  Once you pull off the ground though, the magnitude of the moves hits you.  The tension required to keep your feet on is extreme, the moves are long, and the difficulty is unrelenting despite its relatively short length.    At 6'1"" I found the opening move to be quite doable, and as with most people the real business starts with the toehook and match before setting up for the big next move.    If you're climbing at this grade then you already know about this problem.  It is a significant landmark in Bishop's bouldering landscape and every ascent of it is certainly well-earned."
Beekeeping for Profit & Pleasure,4,overhanging,steep,"Steep jug-hauling down low to fun and exciting moves around the bulge.    Sit-start down at the lowest two huecos and make a move up and left to a huge jug.  Follow the jugs and good edges out to the jug flake.  Rest here, then bust up thru the crux with crimps and sidepulls to the huge flake with a jug at the top.  Downclimb/drop off here or continue out up and right to the top of the boulder at 30+ feet!"
The Beekeeper's Apprentice,5,overhanging,steep,The Beekeeper's Apprentice follows the same line as the Beekeeper but finishes at the hueco jugs just after the crux crimps.
Essential Peabody,0,overhanging,steep,"Go more or less straight up many huecos to a hole and finish up the slab to the summit, or downclimb."
Left Nixon Crack,0,overhanging,crack,A beautiful hands/off-hands crack on a vertical face with a small overhang at the top.
The Beekeeper,6,overhanging,steep,"This beast of a boulder problem packs the punch of a route - close to 40 feet, but due to all the climbing under the roof and the slope of the ground your feet will only tickle the 20 foot-mark near the top.  Before you jump on the upper section, be sure to realize the seriousness of the down-climb, which is down the northeast face/arete.      Start way down on the left side of the roof in the huecos.  Move out the roof sightly right using fins and huecos to a large hueco with a jug on the right side, just before the lip of the roof.  Bust out right into the crux using sharp crimps and good footwork to the big move up to the large sidepull/jug.  Follow the path of jugs and big moves up and right all the way to the top.    Downclimb the northeast face.  (be careful!)"
Mesothelioma,7,overhanging,face,The crux is up high on this route.  No move is really harder than V4-5 but the pump might get you at the end as you search desperately for holds.    SDS is a V8.
Golden Shower,10,overhanging,technical,There are two cruxes on Golden Shower.  The first is down low and the second is up high.  The rock is a bit sharp (especially one left hand crimp on the arete) and the landing is a bit jagged so bring lots of pads and friends.  One of the proudest lines in Bishop.    Beta:  (let's see if I can remember this right)  begin in the shallow hueco and move up to a good edge with the right hand.  Then shift feet and bust out left to the arete and get a decent sloper.  Shift feet and bump up to the aforementioned sharp arete hold.  Move your left foot to the corner of the arete and right foot almost by your right hand and do the crux move to a right hand sidepull.  Move feet up and bump left hand to a pinch.  Heel hook left foot by your hand and do a big move to a good patine hold.  Get matched up on the rail and move right on worsening patina and heel hook the aforementioned good patina.  Reach up and get a sloper until you can bump over and get a crimp (upper crux)  Rock over and grab the tear drop (or it is tea cup) jug.  Whew.
Jedi Mind Tricks,4,vertical,face,"Must do for anyone in the Pollen Grains.  The crux is right off the ground with very poor feet.  Once you are high enough to use the flake with your feet it is smooth sailing to the very last move, which is the mental crux.  A creaky flake (it is solid, trust it) for your left and a grainy side-pull for your right set you up for the grab for the lip.  Just amazing!"
Return Jedi,10,vertical,technical,"A nice thin technical line up the arete just left of Jedi Mind Tricks. Begin on right-facing crimps and move up and right on small holds. Once you unlock this low percentage crux, move back left to the arete for a stimulating finish on easy but questionable holds. This line should clean up nicely with more traffic. Worth the effort!"
Original Line,0,vertical,traverse,"Just right of Snake Oil, this line follows jugs straight up to the highest lip, then traverses left and up more big plates.  Generally used as the downclimb for other routes that top out the Lidija boulder."
Lidija's Mouth,3,slab,technical,"On the north side of the Lidija Boulder lies a massive mouth. Moving left to right will allow you do reach out of the lip and grab a slopey dish. From here, pull onto the slab and top 'er out"
Suspended in Silence,5,overhanging,technical,Start on 1 of 2 big flakes at head height.  Crux is the first move up to a smallish crimp. Stick this and screw up the courage for the long haul to the top. Reachy moves between small sidepulls and gastons leads you straight up and over the bulge (at about 30 feet).  Scary!!
Drone Militia,6,vertical,face,This is one heck of a highball. Climb the middle of the SW face. The crux is at a reasonable height and the holds just get bigger the higher you climb.
Cover Me With Flowers,2,vertical,face,Classic V2!  Follow the rightward leaning crack on good crimps and incuts to a slopey bucket at the lip.  Worth a stop before heading down to Jedi Mind Tricks.
Cindy Swank,7,vertical,face,Start standing on good holds about five feet up. Move up through a decent crimp to a big hold below the lip. Grab a good crimp on the lip then pull through some difficult moves to top out.
Swanky Sit,9,vertical,face,"Start sitting, matched down and left of Cindy Swank on the obvious left facing sidepull/pinch feature. Move right using small sidepulls and interesting movement until you are on Cindy Swank. Save some juice for the somewhat difficult moves pulling up and over the lip."
Finders Fee,9,overhanging,technical,"Start standing towards the right side of the overhanging west face on a good crimp rail. Move slightly left then up using small crimps and core tension. Once you hit the good hold on the lip, match and move right and up using a small crimp on the lip and a good hold that is hard to see from below.     One of the holds pulling up and over is a hollow flake that looks like it could break off, so be gentle..."
Vic's Demise,0,slab,face,"Yard on the hollow, see-through jug and move directly up the face on improving holds over a terrible landing to a top out 45 feet off the deck."
Bee Sneeze,3,slab,face,"Start low on two huecos, make tricky moves up and right until it is possible to make a scary roll up onto the slab."
Scooped Face,3,vertical,face,"Make some tricky moves off the ground, thru the overlap to reach the juggy huecos where you have a huge stance to rest on before clearing your head to climb the easy but airy top out."
