Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Roadside Rails","Roadside Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593383/roadside-rails,2.5,-1,Boulder,V0,1,12,37.93023,-119.17105
"Problem B","Roadside Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593399/problem-b,2.0,-1,Boulder,V0,1,15,37.93023,-119.17105
"Roadside Traverse","Roadside Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593373/roadside-traverse,2.0,-1,Boulder,V2+,1,15,37.93023,-119.17105
"Nate's Arete","Roadside Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593390/nates-arete,3.7,-1,Boulder,V9,1,10,37.93023,-119.17105
"Problem B","Campground Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593831/problem-b,2.0,-1,Boulder,V1,1,12,37.92976,-119.17078
"Problem H","Campground Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593920/problem-h,2.0,-1,Boulder,V2,1,,37.92976,-119.17078
"Problem A","Campground Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593821/problem-a,2.0,-1,Boulder,V2,1,12,37.92976,-119.17078
"Problem F","Aspen Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593979/problem-f,2.3,-1,Boulder,V2,1,10,37.93978,-119.18397
"Problem C","Aspen Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593950/problem-c,2.0,-1,Boulder,V3,1,10,37.93978,-119.18397
"Problem C'","Aspen Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/109960899/problem-c,2.0,-1,Boulder,V3,1,10,37.93978,-119.18397
"Problem A","Aspen Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593931/problem-a,2.7,-1,Boulder,V4,1,10,37.93978,-119.18397
"Problem A - Sit Start","Aspen Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593937/problem-a-sit-start,2.0,-1,Boulder,V7,1,10,37.93978,-119.18397
"Adam's Arete","Aspen Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/108593971/adams-arete,2.3,-1,Boulder,V8,1,12,37.93978,-119.18397
"Little Arete","Little Arete Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/109985981/little-arete,2.0,-1,Boulder,V0+,1,10,37.93054,-119.17293
"Triangle Face","Little Arete Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/109985987/triangle-face,2.0,-1,Boulder,V1+,1,10,37.93054,-119.17293
"Problem B","Little Arete Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/109985964/problem-b,2.0,-1,Boulder,V2+,1,11,37.93054,-119.17293
"Little Arete Traverse","Little Arete Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/109986005/little-arete-traverse,2.0,-1,Boulder,V2+,1,16,37.93054,-119.17293
Nails,"Saving Grace Boulder > *Lee Vining Bouldering > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/118729664/nails,3.0,-1,Boulder,V3,1,10,37.93086,-119.17022
