Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Slab Face","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940734/slab-face,2.5,-1,Boulder,V-easy,1,15,36.49551,-121.20408
"""Sharma Project""","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940789/sharma-project,4.0,-1,"TR, Boulder",V-easy,1,30,36.49551,-121.20408
"Original Classic?","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940743/original-classic,3.0,-1,Boulder,V2-3,1,12,36.49551,-121.20408
"Hueco Sit Start","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940757/hueco-sit-start,3.0,-1,Boulder,V3-4,1,10,36.49551,-121.20408
"The Nookie","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940766/the-nookie,3.0,-1,Boulder,V3-4,1,10,36.49551,-121.20408
Redline,"The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/116579935/redline,3.0,-1,Boulder,V3-4,1,,36.49551,-121.20408
"Red Blooded","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/116579941/red-blooded,2.0,-1,Boulder,V3-4,1,,36.49551,-121.20408
"Ring of Fire","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940772/ring-of-fire,3.0,-1,Boulder,V4-5,1,10,36.49551,-121.20408
"The Shepherd Traverse aka Anticlimactic Traverse","The Bouldering Rock > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/114940805/the-shepherd-traverse-aka-anticlimactic-traverse,2.0,-1,Boulder,V4-5,1,15,36.49551,-121.20408
Dyno-saur,"The Potato > * Bishop Peak Bouldering > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737267/dyno-saur,3.3,-1,"TR, Boulder",V4,1,30,35.30485,-120.69421
Sisyphus,"The Potato > * Bishop Peak Bouldering > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/117962206/sisyphus,3.5,-1,Boulder,V8,1,,35.30485,-120.69421
"The Easy Route","Chlorissa > * Bishop Peak Bouldering > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737489/the-easy-route,2.3,-1,Boulder,V-easy,1,10,35.3026,-120.697
