Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Illicit Sweetie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105798054/illicit-sweetie,3.1,-1,Boulder,V0,1,18,33.99802,-116.15351
"The Sideling","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111505610/the-sideling,3.1,-1,Boulder,V3,1,13,33.99792,-116.15341
"Nicole Overhang","Nicole Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107905741/nicole-overhang,3.1,-1,Boulder,V6,1,13,33.99779,-116.1536
"Strawberry Contraceptives","Strawberry Contraceptives Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108433838/strawberry-contraceptives,3.1,-1,Boulder,V7,1,10,33.99762,-116.15424
"Saxwing on the DL","The Hang West > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108734026/saxwing-on-the-dl,3.0,-1,Boulder,V5,1,15,33.99789,-116.1543
"Planet X","Planet X Boulder > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722578/planet-x,3.9,-1,Boulder,"V6 R",1,23,33.99712,-116.15523
"Jerry's Kids","Jerry's Boulder > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106123996/jerrys-kids,3.0,-1,Boulder,V4,1,,33.99713,-116.15575
"Satellite Boulder Left","Satellite Boulder > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107601458/satellite-boulder-left,3.5,-1,Boulder,"V3 PG13",1,18,33.9966,-116.15558
X-Men,"X-Men Boulder > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108549284/x-men,3.3,-1,Boulder,V4,1,20,33.99662,-116.15492
"Up 20","Sandy Wash Corridor > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106096439/up-20,3.0,-1,Boulder,"V2 R",1,20,33.98848,-116.16102
"All Washed Up","Sandy Wash Corridor > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723292/all-washed-up,3.8,-1,Boulder,V6,1,20,33.98848,-116.16102
"Ample Mantle","Parking Lot Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108630058/ample-mantle,3.0,-1,Boulder,V1,1,15,33.98964,-116.16395
"Pumping Monzonite","Pumping Monzonite Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105901886/pumping-monzonite,3.8,-1,Boulder,V7-8,1,15,33.9877,-116.1613
"High Heeled Sneakers","Cap Rock > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106161768/high-heeled-sneakers,3.0,-1,Boulder,V5,1,18,33.98965,-116.16317
"Saturday Night Live","Saturday Night Live Boulder > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723517/saturday-night-live,3.5,-1,Boulder,V4,1,13,34.01167,-116.16855
"Betty Jo Yablonksi","Betty Jo Rock > Entrance Boulder & Vicinity > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725209/betty-jo-yablonksi,3.6,-1,Boulder,"5.10a V0 R",1,25,34.01247,-116.16861
"Ceasar's Palace","Entrance Boulder > Entrance Boulder & Vicinity > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106151375/ceasars-palace,3.5,-1,Boulder,V6,1,19,34.01256,-116.16836
"Evan's Problem","Sports Challenge Rock > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/116494567/evans-problem,4.0,-1,Boulder,V4,1,5,34.01431,-116.17112
Kirkatron,"Sports Challenge Rock > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106049301/kirkatron,3.3,-1,Boulder,V5,1,30,34.01431,-116.17112
"Turtle Face Center","Wedge Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106146685/turtle-face-center,2.8,-1,Boulder,V2,1,20,34.00972,-116.16725
Shipwreck,"Shipwreck Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106069186/shipwreck,3.2,-1,Boulder,"V3 R",1,20,34.00983,-116.16681
"Fist Full of Walnuts","Shipwreck Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106076661/fist-full-of-walnuts,3.1,-1,Boulder,V3,1,15,34.00983,-116.16681
"The Button High","So High Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108304007/the-button-high,3.0,-1,Boulder,V3,1,25,34.00984,-116.16704
"So High","So High Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048550/so-high,3.4,-1,Boulder,"V5 R",1,40,34.00984,-116.16704
"Powerband West","So High Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106148615/powerband-west,3.0,-1,Boulder,V8,1,,34.00984,-116.16704
"So High (sit)","So High Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048570/so-high-sit,3.5,-1,Boulder,"V11 R",1,,34.00984,-116.16704
"Black Velvet","Black Velvet Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106073939/black-velvet,3.0,-1,Boulder,V2-3,1,20,34.00946,-116.1687
"Jump Chump","Jump Chump Clump > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106073955/jump-chump,3.0,-1,Boulder,V2,1,15,34.00967,-116.16845
"Act of Contrition","Broken Egg > Turtle Rock Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106143002/act-of-contrition,3.6,-1,Boulder,"V3 R",1,20,34.01116,-116.16725
"Dish Mantel","Zinger Boulder > Semi-Precious Bouldering > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/118088039/dish-mantel,3.0,-1,Boulder,V2,1,10,34.01237,-116.16243
Pigpen,"Pigpen Boulder > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722992/pigpen,3.9,-1,Boulder,V4,1,10,34.0153,-116.15811
"The Yogi Variation","Pigpen Boulder > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/113620731/the-yogi-variation,3.1,-1,Boulder,V8,1,10,34.0153,-116.15811
"Off Camber","Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725494/off-camber,3.0,-1,Boulder,V4,1,15,34.01431,-116.15814
Unnamed,"The Pig Sty > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/118571241/unnamed,3.0,-1,Boulder,V2,1,13,34.01398,-116.15439
