Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Baseball,"Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/107661945/baseball,3.0,-1,Boulder,V2-3,1,10,37.88949,-122.63291
"Crimpy V4","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735668/crimpy-v4,3.0,-1,Boulder,V3,1,10,37.88949,-122.63291
"Orange Buddha Face","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/113553175/orange-buddha-face,3.0,-1,Boulder,V4-5,1,,37.88949,-122.63291
"Grace Face","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/108037733/grace-face,3.2,-1,Boulder,V5,1,,37.88949,-122.63291
"Arete Dream","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117044674/arete-dream,3.0,-1,Boulder,V5,1,15,37.88949,-122.63291
"Kiki's Big Adventure","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111822297/kikis-big-adventure,3.0,-1,Boulder,V6,1,30,37.88949,-122.63291
"Orange Buddha Arete","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/106815803/orange-buddha-arete,3.6,-1,Boulder,V7,1,,37.88949,-122.63291
"Belly Of The Buddha","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/107710801/belly-of-the-buddha,3.0,-1,Boulder,V10,1,12,37.88949,-122.63291
"Bound by Tension","Danger Rock (or Orange Buddha Rock) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111884387/bound-by-tension,3.0,-1,Boulder,V10,1,10,37.88949,-122.63291
"Surf's Up","Center Bouldering Rock (or the Beach Boulder) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117617055/surfs-up,3.0,-1,Boulder,V2,1,10,37.88939,-122.63301
"Yuji's Dyno","Center Bouldering Rock (or the Beach Boulder) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/109019192/yujis-dyno,3.0,-1,Boulder,V6,1,17,37.88939,-122.63301
"The Sandwich (The Buttwich)","Old Man Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/113694216/the-sandwich-the-buttwich,3.0,-1,Boulder,V0-1,1,12,37.89176,-122.63552
"High Tide Traverse","Old Man Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/109033375/high-tide-traverse,4.0,-1,Boulder,V5,1,40,37.89176,-122.63552
"Standard Route","Are You Experienced Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117716591/standard-route,3.0,-1,Boulder,V3,1,10,37.89172,-122.63528
Arete,"Are You Experienced Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111238100/arete,3.5,-1,Boulder,V5,1,,37.89172,-122.63528
"Smiley Face (Sit)","Are You Experienced Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/114012200/smiley-face-sit,3.0,-1,Boulder,V6,1,,37.89172,-122.63528
"Little Wing","Are You Experienced Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/110312130/little-wing,3.2,-1,Boulder,V7,1,15,37.89172,-122.63528
"Are You Experienced Traverse","Are You Experienced Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111982231/are-you-experienced-traverse,3.0,-1,Boulder,V10,1,30,37.89172,-122.63528
Manitou,"Are You Experienced Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117667979/manitou,3.0,-1,Boulder,V11,1,,37.89172,-122.63528
V1,"South Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/107323778/v1,3.0,-1,Boulder,V1+,1,12,37.89132,-122.63482
"North Arete (Yabo)","North boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117631782/north-arete-yabo,3.0,-1,Boulder,V5,1,,37.89194,-122.63568
"Midline Crisis","Midline Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/118914568/midline-crisis,3.0,-1,Boulder,V5,1,12,37.89186,-122.63552
"Way of the Wah","Way of the Wah (AKA the cave) > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/110901105/way-of-the-wah,3.5,-1,Boulder,V8,1,15,37.8894,-122.63294
"Old School","The Red Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117687527/old-school,3.0,-1,Boulder,V2,1,10,37.8883,-122.63246
"Kenny's Arete","The Red Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/116826741/kennys-arete,4.0,-1,Boulder,"V5 PG13",1,20,37.8883,-122.63246
"High Rev Motor Sports","The Red Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/116826777/high-rev-motor-sports,4.0,-1,Boulder,"V5 PG13",1,15,37.8883,-122.63246
"Crimps of Bel Air","Summit Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116984232/crimps-of-bel-air,3.0,-1,Boulder,"V6-7 R",1,25,37.2408,-122.0978
"Backside Bouldering","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114064216/backside-bouldering,3.0,-1,Boulder,V0,1,15,37.2282,-122.1079
"Shady Rock Traverse","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/112410858/shady-rock-traverse,3.0,-1,Boulder,V2,1,100,37.22654,-122.10116
"Devil Baby Traverse","Middle Muffin > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736187/devil-baby-traverse,3.3,-1,Boulder,V5,1,30,37.2259,-122.1045
"The Sticky Green Traverse","Lower Muffins > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736196/the-sticky-green-traverse,3.0,-1,Boulder,V6,1,,37.2259,-122.1045
Unknown,"Uphill boulder > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118208823/unknown,4.0,-1,Boulder,V4,1,12,37.22537,-122.10405
"Grotesque Old Woman Boulder","Grotesque Old Woman Boulder > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118209179/grotesque-old-woman-boulder,3.0,-1,Boulder,V3+,1,10,37.22592,-122.10457
"Oswald Cheese","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114064177/oswald-cheese,3.0,-1,Boulder,"V2 PG13",1,18,37.22862,-122.10453
"The End","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116845351/the-end,4.0,-1,Boulder,"V3 PG13",1,15,37.22862,-122.10453
"Klinghoffers Traverse","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106583763/klinghoffers-traverse,3.8,-1,Boulder,V5,1,40,37.22862,-122.10453
"Sloper Start","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116686458/sloper-start,3.0,-1,Boulder,V5-6,1,5,37.22862,-122.10453
"Right Hand Man","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106583768/right-hand-man,3.1,-1,Boulder,V7,1,8,37.22862,-122.10453
"Campus Creek","Old Problem List > Aquarian Valley > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117074725/campus-creek,4.0,-1,Boulder,V5,1,10,37.28997,-122.16614
"El Chapo","Old Problem List > Aquarian Valley > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113969461/el-chapo,3.0,-1,Boulder,V5,1,10,37.28997,-122.16614
"Ronald Dregon","Old Problem List > Aquarian Valley > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107646849/ronald-dregon,3.0,-1,Boulder,V11,1,,37.28997,-122.16614
