Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Fire on the Mountain","Fire on the Mountain Boulder > Little Egypt > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108871636/fire-on-the-mountain,4.0,-1,Boulder,"5.10- V1 X",1,35,37.304,-118.52394
"All hands on deck","Pyramid Problems > Little Egypt > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118813693/all-hands-on-deck,3.0,-1,Boulder,"V0 R",1,35,37.30438,-118.52234
"Eons of Van Dikes","Pyramid Problems > Little Egypt > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118816453/eons-of-van-dikes,3.0,-1,Boulder,"V1 R",1,35,37.30438,-118.52234
"Perry's Pose","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111683780/perrys-pose,3.0,-1,Boulder,V3,1,10,37.3388,-118.5776
"To Kill Ya Corner","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106029305/to-kill-ya-corner,3.0,-1,Boulder,V3,1,,37.3388,-118.5776
Grommit,"Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106381955/grommit,3.7,-1,Boulder,V4,1,15,37.3388,-118.5776
"Seven Spanish Angels (aka The Ruckus)","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106070976/seven-spanish-angels-aka-the-ruckus,3.9,-1,Boulder,V6,1,14,37.3388,-118.5776
"Get Carter","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106070980/get-carter,3.1,-1,Boulder,V7,1,15,37.3388,-118.5776
Unnamed,"Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106132731/unnamed,3.5,-1,Boulder,V7,1,,37.3388,-118.5776
Flecheros,"Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118358069/flecheros,3.0,-1,Boulder,V8,1,20,37.3388,-118.5776
"Michael Caine","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106070972/michael-caine,2.9,-1,Boulder,V9-,1,15,37.3388,-118.5776
"Twin Cracks","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109646283/twin-cracks,3.0,-1,Boulder,V9,1,,37.3388,-118.5776
"A Scanner Darkly","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111684005/a-scanner-darkly,3.0,-1,Boulder,V12,1,,37.3388,-118.5776
Checkerboard,"The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106129151/checkerboard,4.0,-1,Boulder,V7-8,1,20,37.32544,-118.58067
"King Me","The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111726445/king-me,3.0,-1,Boulder,V10,1,18,37.32544,-118.58067
