Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Easy on Backside of Burma","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106486510/easy-on-backside-of-burma,2.9,-1,Boulder,V0-1,1,14,43.4,-89.74329
"Classic Warm Up","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106486247/classic-warm-up,3.3,-1,Boulder,V1,1,16,43.4,-89.74329
"Second Degree","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/111864166/second-degree,3.0,-1,Boulder,V2,1,16,43.4,-89.74329
"Murder Slab","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106486263/murder-slab,2.9,-1,Boulder,V3,1,16,43.4,-89.74329
"Baby Crane","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/107303348/baby-crane,3.1,-1,Boulder,V4,1,12,43.4,-89.74329
"No Foot Left Behind","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/107946647/no-foot-left-behind,3.0,-1,Boulder,V5,1,15,43.4,-89.74329
"Hard Arete","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106486255/hard-arete,3.6,-1,Boulder,V6,1,16,43.4,-89.74329
"Purple Gold","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/109539009/purple-gold,3.6,-1,Boulder,V8,1,,43.4,-89.74329
"Mad Cow","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/111131318/mad-cow,3.0,-1,Boulder,"V9- R",1,,43.4,-89.74329
"Twinkle Toes","Burma Road > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/109683845/twinkle-toes,3.0,-1,Boulder,V11,1,,43.4,-89.74329
"Face Time","Cibola Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106487954/face-time,3.0,-1,Boulder,V2+,1,20,43.4233,-89.7149
"Elephant Ear","Cibola Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106486361/elephant-ear,3.0,-1,Boulder,V3,1,25,43.4233,-89.7149
