Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Local Flakes","Mushroom Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810728/local-flakes,3.1,-1,Boulder,V2,1,,31.9217,-106.0425
"Left El Murray","Mushroom Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810709/left-el-murray,3.6,-1,Boulder,V6,1,,31.9217,-106.0425
"Center El Murray","Mushroom Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810720/center-el-murray,3.8,-1,Boulder,V6,1,,31.9217,-106.0425
"Mushroom Roof","Mushroom Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810703/mushroom-roof,3.9,-1,Boulder,V8,1,15,31.9217,-106.0425
"Right El Murray","Mushroom Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810724/right-el-murray,3.2,-1,Boulder,V8,1,,31.9217,-106.0425
"Tree Killer","Warm Up Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/107052286/tree-killer,3.0,-1,Boulder,V0+,1,,31.926,-106.0449
Skimmer,"Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106299927/skimmer,2.9,-1,Boulder,V3,1,10,31.9246,-106.0433
"Sign of the Cross","Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810762/sign-of-the-cross,3.1,-1,Boulder,V3,1,,31.9246,-106.0433
"Choir Boys Lite","Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810759/choir-boys-lite,3.2,-1,Boulder,V7,1,,31.9246,-106.0433
"Nuns On Their Knees","Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/108382246/nuns-on-their-knees,3.3,-1,Boulder,V8,1,15,31.9246,-106.0433
"Choir Boys","Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810756/choir-boys,3.5,-1,Boulder,V9,1,15,31.9246,-106.0433
"Martini Roof short aka Baby Martini","Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811210/martini-roof-short-aka-baby-martini,3.5,-1,Boulder,V6,1,25,31.9225,-106.0445
"Dirty Martini on the Rocks","Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/109822802/dirty-martini-on-the-rocks,3.2,-1,Boulder,V9,1,15,31.9225,-106.0445
"Martini Roof","Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811013/martini-roof,3.0,-1,Boulder,V10,1,,31.9225,-106.0445
"Tequila Sunrise","Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/118164573/tequila-sunrise,4.0,-1,Boulder,V11-12,1,15,31.9225,-106.0445
"Shaken Not Stirred","Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811197/shaken-not-stirred,3.4,-1,Boulder,V12,1,35,31.9225,-106.0445
Esperanza,"Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811207/esperanza,3.8,-1,Boulder,V14,1,,31.9225,-106.0445
"Nobody Here Gets Out Alive","The Grenade > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811221/nobody-here-gets-out-alive,3.9,-1,Boulder,V2,1,,31.9221,-106.0438
"Dean's Trip","The Grenade > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811232/deans-trip,2.8,-1,Boulder,V5,1,,31.9221,-106.0438
"Wild Turkey","100 Proof Roof > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811247/wild-turkey,3.5,-1,Boulder,V6,1,,31.9222,-106.0436
