Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sunny and Steep","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106413627/sunny-and-steep,3.2,-1,Boulder,V2,1,10,47.54452,-120.73355
"Bad Moon Rising","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108184707/bad-moon-rising,3.2,-1,Boulder,V2,1,,47.54452,-120.73355
Bron-Yr-Aur,"Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108576406/bron-yr-aur,3.0,-1,Boulder,V2,1,12,47.54452,-120.73355
"Slab Sheriff","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114152951/slab-sheriff,3.0,-1,Boulder,V3,1,15,47.54452,-120.73355
"Fiend it Like a Crack","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107275430/fiend-it-like-a-crack,3.0,-1,Boulder,V4-,1,,47.54452,-120.73355
"The Real Thing","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106288755/the-real-thing,3.5,-1,Boulder,V4,1,,47.54452,-120.73355
"The Physical","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108184692/the-physical,3.6,-1,Boulder,V4,1,15,47.54452,-120.73355
"Arrested Development","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106337716/arrested-development,3.0,-1,Boulder,V4,1,15,47.54452,-120.73355
"Feel The Pinch","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108184582/feel-the-pinch,3.4,-1,Boulder,V4+,1,12,47.54452,-120.73355
"The Ruminator","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108184657/the-ruminator,3.8,-1,Boulder,V5,1,20,47.54452,-120.73355
"Cruise Control","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108061075/cruise-control,3.0,-1,Boulder,V6,1,,47.54452,-120.73355
"Busted Stand","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114340596/busted-stand,3.1,-1,Boulder,V6,1,,47.54452,-120.73355
"The Shield","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106288750/the-shield,3.7,-1,Boulder,V7,1,,47.54452,-120.73355
"Backdoor Ass Attack","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105792635/backdoor-ass-attack,3.1,-1,Boulder,V7,1,10,47.54452,-120.73355
"Street Justice","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/112863448/street-justice,3.7,-1,Boulder,V7,1,10,47.54452,-120.73355
