Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Wake me up when September ends","American idiot > 09-Icebox Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/117831113/wake-me-up-when-september-ends,3.0,-1,Boulder,V2,1,15,36.14537,-115.49025
"Double Quarter Pounder","Circulation Desk > The Library > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/116683445/double-quarter-pounder,3.0,-1,Boulder,V3,1,12,36.03774,-115.46041
"Pink Hammer, Dicks Out","Circulation Desk > The Library > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/116683461/pink-hammer-dicks-out,3.0,-1,Boulder,V5,1,15,36.03774,-115.46041
"Amigos' Arete","Vaya con Queso > 05-Sandstone Quarry > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/110298036/amigos-arete,3.3,-1,Boulder,V1,1,12,36.1723,-115.45506
"Mexican Jacket","Vaya con Queso > 05-Sandstone Quarry > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/110127474/mexican-jacket,3.6,-1,Boulder,V3,1,15,36.1723,-115.45506
Wavestorm,"The Pier > Parking Lot Area > 05-Sandstone Quarry > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/115424808/wavestorm,4.0,-1,"TR, Boulder","V1 R",1,25,36.1607,-115.44627
"Potters’ Crack","Pyramid Scheme Boulder > 07-Willow Spring > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/117812643/potters-crack,3.0,-1,Boulder,V0-1,1,20,36.15974,-115.48818
"The Swinger","Pyramid Scheme Boulder > 07-Willow Spring > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/117802219/the-swinger,3.0,-1,Boulder,V3,1,20,36.15974,-115.48818
"Hang loose","Hang loose > 04-Second Pullout (Calico II) > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/117738210/hang-loose,3.0,-1,"TR, Boulder",V1,1,20,36.15477,-115.43761
"Darwin Award","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107513950/darwin-award,3.0,-1,Boulder,V2,1,10,36.16154,-115.41099
"Monkey Bar","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106657521/monkey-bar,3.5,-1,Boulder,V2,1,20,36.16154,-115.41099
"Hyperglide (aka Monkey Pinch)","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107074342/hyperglide-aka-monkey-pinch,3.4,-1,Boulder,V5,1,20,36.16154,-115.41099
"Oompa Loompa","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/108551582/oompa-loompa,3.1,-1,Boulder,V5,1,8,36.16154,-115.41099
"Monkey Bar Traverse","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105937677/monkey-bar-traverse,3.1,-1,Boulder,V6,1,20,36.16154,-115.41099
"Classic Monkey","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106683440/classic-monkey,3.3,-1,Boulder,V6,1,8,36.16154,-115.41099
"Monkey Bar Direct","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107378329/monkey-bar-direct,3.3,-1,Boulder,V8,1,,36.16154,-115.41099
"Peter North Pump","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/116621137/peter-north-pump,4.0,-1,Boulder,V9,1,15,36.16154,-115.41099
"Monkey Bar Direct Right","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/112381021/monkey-bar-direct-right,3.8,-1,Boulder,V9,1,15,36.16154,-115.41099
"The Redirect","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/117939655/the-redirect,3.0,-1,Boulder,V12,1,,36.16154,-115.41099
"Plumbers Crack (North side chimney)","Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106617793/plumbers-crack-north-side-chimney,3.6,-1,Boulder,"V0 R",1,25,36.15993,-115.41713
"Plumber's Crack","Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107185645/plumbers-crack,3.6,-1,Boulder,"V2 R",1,40,36.15993,-115.41713
"Slice N Dice","Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107974932/slice-n-dice,3.6,-1,Boulder,"V9 R",1,25,36.15993,-115.41713
"Poker Chips","Potato Chip > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106650925/poker-chips,2.9,-1,Boulder,V0-1,1,,36.15937,-115.41662
"Full Traverse","Potato Chip > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106650933/full-traverse,2.8,-1,Boulder,V1-2,1,25,36.15937,-115.41662
"Potato Chips","Potato Chip > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106650919/potato-chips,3.1,-1,Boulder,V2,1,12,36.15937,-115.41662
"The Pearl","The Pearl > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106056281/the-pearl,3.1,-1,Boulder,V5,1,12,36.15924,-115.41487
"Pearl Necklace","The Pearl > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107444907/pearl-necklace,2.9,-1,Boulder,V6-,1,,36.15924,-115.41487
"The Huck","Angel Dyno > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106705830/the-huck,3.0,-1,Boulder,V5-,1,12,36.15968,-115.4161
"Angel Dyno","Angel Dyno > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106378785/angel-dyno,3.7,-1,Boulder,V7,1,12,36.15968,-115.4161
"Progressive Guy","Angel Dyno > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/113907839/progressive-guy,4.0,-1,Boulder,V10,1,13,36.15968,-115.4161
Blackstone,"Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107158805/blackstone,3.1,-1,Boulder,V3,1,20,36.15989,-115.41296
"The Bathtub","Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107429316/the-bathtub,3.2,-1,Boulder,V5+,1,12,36.15989,-115.41296
"Tied to the Whipping Post","Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107407188/tied-to-the-whipping-post,2.8,-1,Boulder,V6,1,12,36.15989,-115.41296
"Vino Rojo","Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106964471/vino-rojo,3.9,-1,Boulder,V6,1,15,36.15989,-115.41296
"Big K","Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107414804/big-k,3.5,-1,Boulder,V8,1,15,36.15989,-115.41296
"Orange Top Blue Sky","Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106657510/orange-top-blue-sky,3.3,-1,Boulder,V8,1,30,36.15989,-115.41296
Alexisizer,"Alexisizer > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106657518/alexisizer,3.5,-1,Boulder,V6,1,20,36.16016,-115.41213
Jones'n,"Burnout Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106732635/jonesn,3.0,-1,Boulder,V4+,1,12,36.15961,-115.41636
